"","Simulation","NumberOfGenes","DEgenes","Upregulated","TopCounts/DE","Correct/TopCounts","Correct/DE"
"1",1,11029,2766,0.471031614160165,0.28232298767275,0.985915492957746,0.278346607564683
"2",2,10863,2943,0.626186935417354,0.287783658238373,0.983471074380165,0.283026903556747
"3",3,10016,2660,0.620511563820764,0.28564723346988,0.986842105263158,0.281888717240013
"4",4,10670,1009,0.499178957752883,0.238738757891994,0.991701244813278,0.236757523386666
"5",5,10422,715,0.450910880230367,0.167626716676889,0.966666666666667,0.162039159454326
"6",6,11080,1094,0.512353086750954,0.23762606811441,0.965384615384615,0.229400550371988
"7",7,9868,2165,0.503878087643534,0.275702602757209,0.983249581239531,0.271084468707675
"8",8,10151,701,0.535421802988276,0.219543008757538,0.974025974025974,0.213840592945654
"9",9,8830,1562,0.47870300267823,0.268227673420522,0.985680190930788,0.264386704350061
"10",10,8782,792,0.467646956630051,0.213248120460945,0.988165680473373,0.210724474064958
"11",11,9109,2641,0.563474860880524,0.279762086259628,0.979702300405954,0.274083559474927
"12",12,8467,2453,0.500109850568697,0.305715333217611,0.985333333333333,0.301231508330419
"13",13,11132,2135,0.502498405613005,0.250105098397201,0.98876404494382,0.247294928752289
"14",14,11661,1654,0.607567316945642,0.252003744333963,0.968824940047962,0.244147512496213
"15",15,9637,2854,0.564045050228015,0.28864935386209,0.987864077669903,0.285146327722986
"16",16,11000,2997,0.46533000394702,0.280901184407863,0.977434679334917,0.274562559106498
"17",17,10603,647,0.527365170605481,0.180676265694124,0.965811965811966,0.174499299345606
"18",18,11807,3137,0.649120394838974,0.279829212050425,0.977220956719818,0.273454970318069
"19",19,10318,670,0.459437772631645,0.211780016119664,0.97887323943662,0.207305790426995
"20",20,8581,1048,0.611416270909831,0.233689956497487,0.971428571428571,0.227013100597559
"21",21,10137,1400,0.563482783734798,0.249983260216351,0.982857142857143,0.245697832898357
"22",22,8618,2511,0.528989895107225,0.285449762151861,0.9721059972106,0.277487425690163
"23",23,9509,1889,0.596897368924692,0.2731565471486,0.978682170542636,0.267333442461323
"24",24,9129,2372,0.555820273654535,0.299323587481159,0.976056338028169,0.292156684682314
"25",25,8970,1472,0.562455743225291,0.261510078151066,0.971428571428571,0.254038361632464
"26",26,11921,1520,0.616895903553814,0.233458561674346,0.977464788732394,0.228197523664783
"27",27,8437,1462,0.618088720785454,0.245471598182969,0.974930362116992,0.239317714105959
"28",28,11443,1215,0.569828343531117,0.245135791553549,0.949664429530201,0.232796741643135
"29",29,8944,713,0.535423271218315,0.222772693285342,0.993710691823899,0.22137160716405
"30",30,10339,1270,0.620139697846025,0.235302542033469,0.976588628762542,0.229793786868806
"31",31,10546,840,0.487088296143338,0.198641548044079,0.976047904191617,0.193883666653801
"32",32,11935,1899,0.606112202862278,0.269086112645095,0.978473581213307,0.263293652294613
"33",33,8417,551,0.459708012035117,0.168770042634949,0.978494623655914,0.165140579352477
"34",34,10585,2640,0.531761482125148,0.278715585065204,0.985054347826087,0.274549998875371
"35",35,9056,2049,0.522066737152636,0.266354373961702,0.987179487179487,0.262939574295527
"36",36,8964,1720,0.647179966373369,0.256300032307994,0.972789115646258,0.249325881769001
"37",37,9092,1900,0.52861749320291,0.271989440943591,0.980657640232108,0.266728523323792
"38",38,11940,2605,0.545003404887393,0.253715834006425,0.980332829046899,0.248725961325512
"39",39,11969,735,0.453283657692373,0.180934114417775,0.977443609022556,0.17685289379181
"40",40,11639,2420,0.643778535583988,0.240846015566968,0.987993138936535,0.237954210920367
"41",41,10068,1307,0.56819213940762,0.263034582212956,0.976744186046512,0.256917498905678
"42",42,12230,2849,0.603162173880264,0.264994211218212,0.970860927152318,0.25727252559331
"43",43,12099,2326,0.546013740403578,0.241132935186402,0.982174688057041,0.236834665396983
"44",44,11593,2755,0.464310959819704,0.276558477021006,0.988188976377953,0.273292038316034
"45",45,9407,2334,0.486181957600638,0.274149665790003,0.975,0.267295924145253
"46",46,8622,1615,0.466408860357478,0.25199885184086,0.97051597051597,0.244568910263242
"47",47,11284,1511,0.639886001776904,0.219681640877731,0.984939759036145,0.216373182430777
"48",48,12083,1409,0.505368009442464,0.21923869955767,0.967637540453074,0.212143596012114
"49",49,10223,2518,0.487116587487981,0.27834351619122,0.984308131241084,0.273975786265252
"50",50,9992,1658,0.528799374727532,0.235107559647847,0.979487179487179,0.230284840475584
"51",51,11914,3191,0.586255428567529,0.274769686035626,0.990877993158495,0.27226323507977
"52",52,11617,732,0.58646498513408,0.206031332756984,0.986754966887417,0.203302440932388
"53",53,8604,849,0.545028245169669,0.199041597956272,0.970414201183432,0.193152793283009
"54",54,10515,2395,0.479350892687216,0.273024071154537,0.980122324159021,0.267596987171343
"55",55,11424,1781,0.602095295628533,0.24308900987278,0.981524249422633,0.238597757958271
"56",56,10427,3122,0.491494040656835,0.285328720324866,0.976430976430976,0.27860380099061
"57",57,11604,2873,0.63547888789326,0.266192232270406,0.992156862745098,0.26410445005652
"58",58,10216,2137,0.628942730557174,0.257321679654621,0.970909090909091,0.249835958064668
"59",59,11257,667,0.507958400528878,0.230827547518316,0.961038961038961,0.221834266446174
"60",60,11318,1401,0.495536202937365,0.197588123341616,0.985559566787004,0.19473486524282
"61",61,12458,3724,0.595300820237026,0.295080225225759,0.975432211101001,0.287830756544143
"62",62,8802,1090,0.502736379345879,0.224614546436919,0.975510204081633,0.219113782034383
"63",63,9791,1421,0.482240545144305,0.251885259453703,0.972067039106145,0.244849358351644
"64",64,10622,1502,0.532661469606683,0.227670890738667,0.976608187134503,0.222345255867587
"65",65,10911,2991,0.583212906587869,0.290840780500497,0.985057471264368,0.286494883780375
"66",66,9856,760,0.633461322868243,0.220851518703063,0.976190476190476,0.215593149210133
"67",67,11418,2426,0.529120957106352,0.260476510642356,0.985759493670886,0.256767193243968
"68",68,11959,2188,0.533291428536177,0.248572716393857,0.979779411764706,0.243546429849128
"69",69,9242,2615,0.59307405166328,0.29899513947166,0.978260869565217,0.29249524513532
"70",70,8394,650,0.58163621975109,0.19681086750321,0.984375,0.193735697698473
"71",71,9704,1307,0.503556234063581,0.247003036055462,0.978328173374613,0.241650029082123
"72",72,11914,1001,0.465246573463082,0.216608425587868,0.986175115207373,0.213613839059003
"73",73,11536,2474,0.465337834507227,0.260707294357887,0.976744186046512,0.254644334023983
"74",74,8428,1833,0.576263437978923,0.269411424671573,0.987854251012146,0.266139221133052
"75",75,8583,2553,0.54484458277002,0.306694410393073,0.988505747126437,0.303169187285107
"76",76,9401,866,0.620743568008766,0.237642809129736,0.970873786407767,0.230721173912365
"77",77,8359,501,0.591891244472936,0.187486305155388,0.968085106382979,0.181502699671706
"78",78,11822,2823,0.602217989880592,0.270617367626394,0.972513089005236,0.26317893212881
"79",79,11318,3036,0.59963400401175,0.281237557003214,0.985948477751756,0.277285741213942
"80",80,10401,657,0.508725007995963,0.197653752092563,0.976923076923077,0.193092511659658
"81",81,11518,3001,0.499541283771396,0.271157216156737,0.995085995085995,0.269824748264075
"82",82,10439,2831,0.523074133414775,0.297398090807695,0.983372921615202,0.292453229440347
"83",83,11302,2917,0.513415804132819,0.28967379484486,0.989349112426036,0.286588511822844
"84",84,8972,1578,0.602519445074722,0.252694732482383,0.987468671679198,0.249528131824709
"85",85,9630,904,0.470876356353983,0.247746161222474,0.982142857142857,0.243322122629216
"86",86,12409,3105,0.585565831325948,0.296257115122474,0.981521739130435,0.290782798864776
"87",87,9391,2118,0.527659994317219,0.260575405662475,0.989130434782609,0.257743064296578
"88",88,8718,1404,0.452726716501638,0.275535899872194,0.987080103359173,0.271976004525008
"89",89,11760,2145,0.600362167879939,0.250299624342024,0.977653631284916,0.24470633664723
"90",90,8343,2257,0.461670003971085,0.261846866532399,0.974619289340102,0.255201006975739
"91",91,9015,1086,0.582014710875228,0.238338043877487,0.976833976833977,0.232816699231676
"92",92,9008,1882,0.4932404786814,0.289449930976161,0.981651376146789,0.284138923068342
"93",93,10190,2030,0.451000675326213,0.263538820007778,0.981308411214953,0.258612860755296
"94",94,10269,2586,0.57151226089336,0.270587897468483,0.982857142857143,0.265949247797594
"95",95,8974,2223,0.462648754334077,0.272132810938808,0.980165289256198,0.266735135349939
"96",96,10077,1168,0.594241816597059,0.236149819932914,0.978260869565217,0.231016128195242
"97",97,9103,2469,0.501003171317279,0.286713003490732,0.983050847457627,0.281853461058685
"98",98,10631,2149,0.546653981786221,0.273574505171332,0.988095238095238,0.270317665824054
"99",99,9849,1350,0.450407359097153,0.239990189610221,0.978395061728395,0.234805216377902
"100",100,11814,1394,0.463970930548385,0.228779325071739,0.978056426332288,0.223759089098378
