"","Simulation","NumberOfGenes","DEgenes","Upregulated","TopCounts/DE","Correct/TopCounts","Correct/DE"
"1",1,9536,2008,0.55099844802171,0.25592147879467,0.988326848249027,0.252934068536366
"2",2,12490,2734,0.511842068796977,0.284156474700871,0.981981981981982,0.279036538219774
"3",3,11261,1930,0.529434857983142,0.250251464991304,0.981366459627329,0.245588394215068
"4",4,11565,677,0.451135448785499,0.172807456310405,0.965811965811966,0.166899509086118
"5",5,8081,977,0.610217462712899,0.226024603522086,0.981900452488688,0.221933660471912
"6",6,9353,498,0.6186152018141,0.206455173049864,0.980582524271845,0.202446334738217
"7",7,8926,1086,0.574315145425498,0.228344118559602,0.967741935483871,0.220978179251228
"8",8,8172,852,0.628639825247228,0.225139813240529,0.994791666666667,0.223967210046568
"9",9,10080,1022,0.598090765532106,0.231672658796604,0.983122362869198,0.227762571728307
"10",10,11852,1776,0.559327781898901,0.269638121132738,0.977035490605428,0.263446013966851
"11",11,11999,1581,0.457588999019936,0.242739847804637,0.973958333333333,0.236418497601392
"12",12,11183,2158,0.630155390221626,0.249699039302391,0.985157699443414,0.245992931112374
"13",13,8593,2390,0.460807209182531,0.291572215457421,0.995695839311334,0.290317241789742
"14",14,11519,2475,0.486044141743332,0.26827638225306,0.975903614457831,0.261811891114432
"15",15,9206,2283,0.63660878315568,0.275478218789855,0.987281399046105,0.271974521253577
"16",16,11004,971,0.576619603810832,0.20473764224562,0.969849246231156,0.198564648007059
"17",17,8702,974,0.508959180256352,0.227823736290356,0.968468468468468,0.220640104965886
"18",18,10381,2263,0.569031869294122,0.258935846863394,0.989761092150171,0.256284626588343
"19",19,12392,884,0.456320870714262,0.19788683152598,0.988571428571429,0.195625267737112
"20",20,11379,860,0.611781783681363,0.222014342023784,0.958115183246073,0.212715311991375
"21",21,11556,682,0.544612557953224,0.222614552634233,0.947368421052632,0.210897997232431
"22",22,12289,3552,0.488288394687697,0.279505826990082,0.988922457200403,0.276409589228863
"23",23,9011,2054,0.567709528142586,0.268192289752343,0.985480943738657,0.26429839080857
"24",24,10866,1266,0.468285612063482,0.20140855595188,0.984313725490196,0.198249206054596
"25",25,8753,2570,0.643963408144191,0.287100480307724,0.971544715447154,0.278930954445309
"26",26,9133,624,0.530825034249574,0.180873749324726,0.991150442477876,0.179273096675835
"27",27,10682,2674,0.502793589606881,0.27106270538593,0.979310344827586,0.265454511481393
"28",28,10271,758,0.48926246217452,0.208233935100583,0.981012658227848,0.204280126206268
"29",29,9849,744,0.574175057932734,0.212336225731544,0.962025316455696,0.204272824754397
"30",30,9928,2442,0.503335750382394,0.288249107044277,0.980113636363636,0.282516880483737
"31",31,12494,1922,0.638039293885231,0.236179195074628,0.975770925110132,0.230456791669736
"32",32,11053,726,0.480082615278661,0.223055015859679,0.95679012345679,0.213416836162039
"33",33,9498,610,0.634247439680621,0.196719509951626,0.958333333333333,0.188522863703642
"34",34,9129,2659,0.532660670671612,0.309052275768902,0.98661800486618,0.304916539718466
"35",35,8227,677,0.531339642032981,0.224350471321816,0.960526315789474,0.215494531664376
"36",36,9045,559,0.470430045388639,0.212714580768729,0.966386554621849,0.205564510826923
"37",37,8278,2262,0.53438226939179,0.291259267100016,0.983308042488619,0.286397579788786
"38",38,11689,2050,0.502246342925355,0.239017361212452,0.989795918367347,0.236578408547019
"39",39,11187,2776,0.611871175747365,0.260019985379691,0.991689750692521,0.257859154476259
"40",40,10428,3047,0.512789491703734,0.290354876140269,0.988700564971751,0.287074030082187
"41",41,11502,3004,0.569174173148349,0.283862567169241,0.98358733880422,0.279203627028128
"42",42,9932,1830,0.608176487497985,0.260099572671908,0.972689075630252,0.252996012914061
"43",43,8152,1593,0.53654059828259,0.262318627415616,0.980861244019139,0.257298175216274
"44",44,10811,3238,0.501092768600211,0.293028176003261,0.985247629083245,0.288705315661801
"45",45,12354,1101,0.457490034354851,0.185207050525896,0.980392156862745,0.181575539731271
"46",46,10606,2291,0.615340578695759,0.272773907361526,0.9744,0.265790895333071
"47",47,12323,1394,0.534175479132682,0.222246296026375,0.964516129032258,0.214360137135116
"48",48,9583,1879,0.617987114889547,0.283096477392649,0.986842105263158,0.279371523742746
"49",49,9289,1653,0.5551204001531,0.2522667489952,0.988009592326139,0.249241967832188
"50",50,9703,1797,0.474493298074231,0.254740023738478,0.982532751091703,0.250290416336933
