"","Simulation","NumberOfGenes","DEgenes","Upregulated","TopCounts/DE","Correct/TopCounts","Correct/DE"
"1",1,8421,552,0.488458413723856,0.166535985161503,0.967391304347826,0.161105463906236
"2",2,11239,1921,0.586448902729899,0.247230465082571,0.983157894736842,0.243066583565391
"3",3,11327,1782,0.541274179052561,0.256949446107513,0.96943231441048,0.249095096226498
"4",4,10974,1571,0.565158480079845,0.246956628560653,0.989690721649485,0.244410683936317
"5",5,8508,479,0.641628091875464,0.183514238251326,0.977272727272727,0.17934346010925
"6",6,10235,1093,0.557816586270928,0.239489655779156,0.988549618320611,0.236747407812219
"7",7,8977,1591,0.643182023940608,0.262718008839676,0.976076555023923,0.256432889010976
"8",8,10329,2217,0.525312547665089,0.2579475366279,0.980769230769231,0.252987007077364
"9",9,8201,2351,0.604441227111965,0.313430711486175,0.98236092265943,0.307902082925361
"10",10,8970,597,0.504512332379818,0.234353467223124,0.978571428571429,0.2293316072112
"11",11,10463,605,0.554171612113714,0.184962048052604,0.964285714285714,0.178356260622154
"12",12,10308,1359,0.486235769605264,0.252261589490222,0.982507288629738,0.247848850315466
"13",13,12167,3321,0.508274099975824,0.277869756986883,0.982665222101842,0.273052946464901
"14",14,10896,2604,0.608163257548586,0.269106197615888,0.980028530670471,0.263731751443816
"15",15,11984,2874,0.5248767120298,0.274845145667886,0.979746835443038,0.269278661704992
"16",16,8398,1920,0.64898210465908,0.296798085684273,0.982456140350877,0.2915911017249
"17",17,10894,2576,0.646903535863385,0.277517581177647,0.972027972027972,0.269754851634216
"18",18,10042,1098,0.576680080266669,0.198444171420911,0.958715596330275,0.190251522142066
"19",19,11480,1426,0.510507477307692,0.235583759206275,0.967261904761905,0.227871195660832
"20",20,12211,924,0.548634422523901,0.235913247550424,0.963302752293578,0.22725588066784
"21",21,10889,3179,0.632691270858049,0.259512297899506,0.983030303030303,0.255108452844241
"22",22,11474,858,0.545908447727561,0.209757732011824,0.966666666666667,0.20276580761143
"23",23,11278,1246,0.525563356466591,0.225407825128439,0.97864768683274,0.220594846655946
"24",24,8438,604,0.476368043292314,0.168596388360575,0.941176470588235,0.158678953751129
"25",25,11743,2509,0.531048113573343,0.27022604134233,0.969026548672566,0.261856208203409
"26",26,11405,1719,0.596173704834655,0.243625166498839,0.98090692124105,0.238973612007214
"27",27,11729,2460,0.576831351965666,0.262588396000966,0.973684210526316,0.255678175053572
"28",28,8078,1721,0.518547306675464,0.274799607938381,0.987315010570824,0.271313777816541
"29",29,12295,898,0.648343993909657,0.202515958840906,0.978021978021978,0.198065058646601
"30",30,8161,1696,0.566393864667043,0.282978033142558,0.991666666666667,0.28061988286637
"31",31,11300,3347,0.633390965266153,0.289744987830053,0.979381443298969,0.28377086436964
"32",32,8493,2009,0.528300967020914,0.273163267444256,0.987249544626594,0.269680311393054
"33",33,12200,1118,0.589108422258869,0.222591806177395,0.983935742971888,0.219016034190609
"34",34,12021,2591,0.557582465326414,0.265112830884116,0.976710334788937,0.258938441809668
"35",35,9052,2306,0.591619930462912,0.266156977441706,0.990228013029316,0.263556094925989
"36",36,10796,633,0.561247196514159,0.206735183988926,0.977099236641221,0.202000790462462
"37",37,10525,1185,0.588382604951039,0.22768109473085,0.955555555555556,0.217561934965034
"38",38,10568,2807,0.622314318921417,0.27105443401092,0.990801576872536,0.268561160636312
"39",39,9407,2253,0.63012868235819,0.278699327394444,0.987261146496815,0.27514901749133
"40",40,11606,3356,0.569394406722859,0.262464684865966,0.98410896708286,0.258293849919175
"41",41,11975,901,0.584486754518002,0.208452912289703,0.98936170212766,0.206235328116408
"42",42,8537,1036,0.499320397758856,0.232527605880784,0.983402489626556,0.228668226530066
"43",43,8716,608,0.465365185029805,0.192414366658814,0.965811965811966,0.185836097713214
"44",44,9158,2091,0.57180543160066,0.263440587518937,0.981851179673321,0.258659451629302
"45",45,8095,470,0.580827465513721,0.24444526164765,0.965217391304348,0.235942817764254
"46",46,9367,1294,0.508479436347261,0.239405542810875,0.983870967741935,0.235544163088119
"47",47,11649,899,0.464330615336075,0.207779054653625,0.962566844919786,0.200001229078355
"48",48,11858,2401,0.49582942975685,0.267735902161237,0.975116640746501,0.261073733522699
"49",49,8799,2364,0.6014364910312,0.28754413404299,0.982352941176471,0.282469825795173
"50",50,10240,617,0.522387132979929,0.225036036405433,0.956834532374101,0.215322250661314
