"","Simulation","NumberOfGenes","DEgenes","Upregulated","TopCounts/DE","Correct/TopCounts","Correct/DE"
"1",1,8740,2423,0.478931372147054,0.279784822678906,0.979351032448378,0.274007554953972
"2",2,11688,922,0.470247989334166,0.201718053912137,0.962365591397849,0.194126514248777
"3",3,8979,1498,0.520676674228162,0.256939010701597,0.976623376623377,0.250932644217663
"4",4,10931,2263,0.4781533411704,0.267255498335732,0.976859504132231,0.261071073580856
"5",5,10451,888,0.514848353294656,0.200254687500722,0.97752808988764,0.195754582163627
"6",6,12391,2446,0.48960944111459,0.261198399931384,0.987480438184664,0.257928310417376
"7",7,9309,2289,0.641154359141365,0.257723340004231,0.986440677966102,0.254228786241462
"8",8,11558,3339,0.477204193547368,0.297642817834589,0.984909456740443,0.293151226016159
"9",9,12123,3350,0.456759052211419,0.273127565970361,0.980327868852459,0.267754564672584
"10",10,10632,576,0.461600963957608,0.221873455165667,0.984375,0.218406682428703
"11",11,9246,616,0.467589447554201,0.199659648958415,0.943089430894309,0.188296904708749
"12",12,10377,2346,0.609469293011352,0.254006526016756,0.981543624161074,0.249318486107051
"13",13,10497,2173,0.511099349567667,0.274159621395066,0.98489932885906,0.270019627112254
"14",14,10516,1010,0.611056318646297,0.218677807384019,0.97737556561086,0.213730345678498
"15",15,9127,1665,0.532343122828752,0.279866929496921,0.98068669527897,0.274461774206208
"16",16,9024,1402,0.641141946939751,0.239492966649219,0.991071428571429,0.237354636589851
"17",17,12106,1964,0.55235159653239,0.257016810987415,0.984158415841584,0.252945257546031
"18",18,11107,3313,0.596349212154746,0.295723353830583,0.987755102040816,0.29210225153878
"19",19,12378,1549,0.557913479395211,0.229736746613216,0.963483146067416,0.221347483394194
"20",20,9504,1389,0.63498153667897,0.258337377921121,0.983286908077994,0.254019761577035
"21",21,9865,1295,0.461432280298322,0.230742999425515,0.986622073578595,0.227656136556947
"22",22,11964,1448,0.469391389284283,0.213358969111714,0.980582524271845,0.209216076507603
"23",23,9071,1803,0.488498243642971,0.225147816904071,0.987684729064039,0.222375060538257
"24",24,10394,2574,0.474421584559605,0.294433904281613,0.986807387862797,0.290549551982383
"25",25,10307,519,0.642790368199349,0.178965786162692,0.989247311827957,0.17704142287062
"26",26,8429,934,0.581929440144449,0.251401687150583,0.974468085106383,0.244982920670143
"27",27,9809,2694,0.483805208373815,0.305795827556696,0.984223300970874,0.300971378820971
"28",28,12228,3184,0.640895678242668,0.267565828325621,0.97887323943662,0.261913029135643
"29",29,12006,1945,0.615148254856467,0.248322969821502,0.971014492753623,0.241125202580299
"30",30,11653,2200,0.568563946289942,0.26948349790647,0.981450252951096,0.264484647186451
"31",31,11180,2469,0.566320334933698,0.258351163780701,0.9858934169279,0.254706711627055
"32",32,11732,1360,0.539377948688343,0.23293722471948,0.965299684542587,0.224854229539939
"33",33,10255,1751,0.644361984543502,0.247735277413125,0.974654377880184,0.241456272686065
"34",34,8322,1952,0.6468729483895,0.28985340165174,0.989399293286219,0.286780750750838
"35",35,11414,1692,0.616803625784814,0.251164867044973,0.969411764705882,0.243482176994186
"36",36,10340,1019,0.56464236555621,0.205963426990747,0.966666666666667,0.199097979424389
"37",37,10277,2997,0.616510065831244,0.270514310900474,0.982737361282367,0.265844520083449
"38",38,11787,2389,0.642100238194689,0.257790822650451,0.983766233766234,0.253605906698333
"39",39,12165,1165,0.619579307315871,0.205145223042415,0.9581589958159,0.196561740906749
"40",40,8575,550,0.57706719650887,0.176158864576214,0.989690721649485,0.174342793807387
"41",41,11455,3378,0.60658703413792,0.266101511771739,0.989988876529477,0.2634375366817
"42",42,10215,2229,0.486577239120379,0.262814715940611,0.979522184300341,0.257432844624421
"43",43,8314,866,0.576323149353266,0.235564079129071,0.965686274509804,0.227480997982485
"44",44,10265,2095,0.514475848618895,0.259138894503738,0.98158379373849,0.254366539172177
"45",45,10939,1861,0.451030667731538,0.231477071377924,0.976798143851508,0.226106373666139
"46",46,8598,2471,0.5455113414675,0.303441950070295,0.993333333333333,0.301419003736493
"47",47,8404,664,0.6349725774955,0.249895187516605,0.969879518072289,0.242368224037189
"48",48,9941,1371,0.47727173063904,0.240643509934289,0.975757575757576,0.234809727875275
"49",49,11096,3296,0.544703811919317,0.299387129040587,0.983789260385005,0.294533842247629
"50",50,12227,1528,0.574658362288028,0.223085542627609,0.967741935483871,0.215889234800912
"51",51,11165,1865,0.649870246462524,0.257285535435633,0.983333333333333,0.252997443178372
"52",52,9078,594,0.548410689411685,0.21013894345602,0.96,0.201733385717779
"53",53,8587,535,0.491744959913194,0.195921413892998,0.980952380952381,0.192189577437894
"54",54,12093,2594,0.539232715126127,0.282111426300241,0.990437158469945,0.279413639436714
"55",55,12396,3640,0.484205987304449,0.277444034351245,0.983168316831683,0.272774184268106
"56",56,8923,2406,0.599712087539956,0.306303481794937,0.983717774762551,0.301316179513337
"57",57,8121,595,0.575191233772784,0.213166864995287,0.960629921259842,0.20477446873563
"58",58,12158,1893,0.593614686839283,0.25239713757295,0.97071129707113,0.245004752790478
"59",59,12494,2270,0.641203616838902,0.252380791685339,0.980802792321117,0.247535785213195
"60",60,8009,718,0.627061927551404,0.222653108485407,0.975,0.217086780773272
"61",61,10279,1717,0.467249943269417,0.233452630468736,0.975062344139651,0.227630869110413
"62",62,11395,1665,0.558497229637578,0.248506455677103,0.985507246376812,0.244904912841203
"63",63,10956,1593,0.507385243289173,0.247317263627844,0.984771573604061,0.243551010882243
"64",64,9707,1973,0.525211007380858,0.277170355935232,0.978062157221207,0.271089836243783
"65",65,11118,1992,0.583039410226047,0.243455999135307,0.991752577319588,0.241448114606356
"66",66,12019,1369,0.543082736246288,0.225634887742804,0.990291262135922,0.223444257764719
"67",67,10271,711,0.567113881139085,0.203789765361357,0.96551724137931,0.196762532073034
"68",68,10981,1762,0.531049681222066,0.25646434968445,0.975663716814159,0.250222960643457
"69",69,11174,2842,0.507709125941619,0.268472451948554,0.981651376146789,0.2635463519128
"70",70,9232,2664,0.528848508372903,0.297235103089873,0.988636363636364,0.293857431463852
"71",71,9927,1340,0.503051016014069,0.232762583644608,0.993589743589744,0.231270515800733
"72",72,11503,1392,0.517157374788076,0.23475666606544,0.960244648318043,0.225423832246325
"73",73,11851,3230,0.507782732928172,0.298745700047509,0.989637305699482,0.295649889684322
"74",74,9475,488,0.498141979519278,0.210946437820279,0.980582524271845,0.206850390483963
"75",75,11454,2798,0.644425490824506,0.286533637399249,0.983790523690773,0.281889077192029
"76",76,11331,2960,0.509234524704516,0.281067748181075,0.987980769230769,0.277689530053898
"77",77,9670,782,0.641230612434447,0.222247266578764,0.96551724137931,0.214583567731221
"78",78,9815,1361,0.62269629901275,0.23421930220816,0.981191222570533,0.229813923483242
"79",79,8940,2314,0.649102706834674,0.276944774895038,0.990639625585023,0.274352468109749
"80",80,10548,1921,0.45179313342087,0.260200287022697,0.98,0.254996281282243
"81",81,12325,924,0.633901866432279,0.203457558088583,0.984042553191489,0.200210894927595
"82",82,11210,3325,0.533114058896899,0.281774200237439,0.986125933831377,0.277864846338734
"83",83,10426,1110,0.543561701290309,0.218864993031057,0.975308641975309,0.213460919129056
"84",84,8564,2330,0.559501748438925,0.2930748455576,0.979502196193265,0.287067454872671
"85",85,11727,1948,0.591245253849775,0.264807411555738,0.972868217054264,0.257622714342986
"86",86,9028,521,0.548408679943532,0.176513310025056,0.945652173913043,0.166920195349781
"87",87,10713,1613,0.508374986751005,0.24728527171126,0.974937343358396,0.241087645853834
"88",88,10576,1516,0.500270063662901,0.250580685007196,0.976315789473684,0.244645879309657
"89",89,9182,2727,0.630485249171034,0.274291148970325,0.990641711229946,0.271724253191191
"90",90,8272,641,0.6468943615444,0.241534326336767,0.967741935483871,0.233742896454935
"91",91,8879,2257,0.616603869013488,0.282142017866128,0.989010989010989,0.279041556131336
"92",92,8549,2259,0.552095543313772,0.291209897548947,0.990881458966565,0.288554488148805
"93",93,9863,666,0.511604649852961,0.210110221845172,0.978571428571429,0.20560785994849
"94",94,10195,1998,0.523724532034248,0.293149386791441,0.979522184300341,0.287146327676258
"95",95,9500,1476,0.464437196124345,0.266174228748741,0.977099236641221,0.26007863572396
"96",96,8980,2385,0.614875987451523,0.278749966634076,0.983458646616541,0.274139064930354
"97",97,9022,1465,0.489308628439903,0.260674940162971,0.976439790575916,0.254533383981121
"98",98,11833,700,0.453344930429012,0.221245961960624,0.980645161290323,0.216963782051709
"99",99,10665,1048,0.604389585833996,0.20891884852605,0.977168949771689,0.204149011801711
"100",100,11252,2766,0.51449687234126,0.271462141582885,0.978695073235686,0.265678660537178
