"","Simulation","NumberOfGenes","DEgenes","Upregulated","TopCounts/DE","Correct/TopCounts","Correct/DE"
"1",1,11572,1274,0.473229210916907,0.218954485437299,0.967741935483871,0.211891437519967
"2",2,9937,2039,0.590538188442588,0.253979172223147,0.982625482625483,0.249566406682591
"3",3,11461,3037,0.626681092288345,0.269929262052089,0.978048780487805,0.264003985568019
"4",4,11897,1581,0.523300694674253,0.2504584299143,0.97979797979798,0.245398663653405
"5",5,11667,712,0.572917538695037,0.206281858782781,0.986394557823129,0.203475302880974
"6",6,9196,1790,0.490782004082575,0.272016197864443,0.987679671457906,0.268664868937982
"7",7,8565,779,0.626975600514561,0.214164641409783,0.982035928143713,0.210317372402421
"8",8,9176,2551,0.638236343115568,0.287651113759721,0.987738419618529,0.284124056506537
"9",9,9026,2026,0.550753372954205,0.292555667517398,0.981450252951096,0.287128833887227
"10",10,8119,2284,0.502098031248897,0.314753175802151,0.990264255910987,0.311688819431337
"11",11,8604,2094,0.600738715659827,0.259759450154148,0.985294117647059,0.255939458240117
"12",12,11610,2291,0.594467405974865,0.261453588262009,0.976627712854758,0.255342819921995
"13",13,9578,2821,0.569371003517881,0.306543280335004,0.978034682080925,0.299809959726489
"14",14,9712,1734,0.644604484783486,0.259402453589722,0.986666666666667,0.255943754208526
"15",15,11889,1012,0.566285619325936,0.185642331328474,0.973404255319149,0.180705035282504
"16",16,8407,1116,0.625476764608175,0.255217493301014,0.978947368421053,0.249844493442045
"17",17,10819,2825,0.550900532957166,0.263991056212729,0.986595174262735,0.260452302108001
"18",18,8390,1208,0.638193066045642,0.24585114981922,0.97979797979798,0.240884459923882
"19",19,9014,1107,0.635064719663933,0.237437038291376,0.977186311787072,0.232020223729595
"20",20,12302,1386,0.537798856152222,0.224322853078155,0.987138263665595,0.221437671688082
"21",21,8120,2122,0.616166106006131,0.265692149583468,0.978723404255319,0.260039125124245
"22",22,8205,648,0.51213866295293,0.222135349285408,0.972222222222222,0.215964922916369
"23",23,11516,2315,0.516851841611788,0.26256374440023,0.993421052631579,0.260836351344965
"24",24,8519,1246,0.562909963959828,0.271099753018466,0.973372781065089,0.263881120541643
"25",25,9409,905,0.584613219602033,0.241807168973637,0.968036529680365,0.234078172705073
"26",26,12419,2684,0.513712339522317,0.262981267961759,0.975920679886686,0.256648857826702
"27",27,8080,1739,0.540749166533351,0.299489070934117,0.99232245681382,0.297189730658232
"28",28,8796,570,0.622274170024321,0.197972901110759,0.955752212389381,0.189213038229752
"29",29,8663,1639,0.450311555154622,0.272113392723017,0.988789237668161,0.269062794149889
"30",30,9298,1529,0.489125155145302,0.247793617578494,0.989445910290237,0.245178381509064
"31",31,9123,1661,0.466864358447492,0.258813302597103,0.986046511627907,0.255201954188771
"32",32,10811,1154,0.488528399821371,0.21047314658576,0.991769547325103,0.208740857313449
"33",33,11859,2083,0.579880178766325,0.262073688699092,0.983516483516483,0.257753792731524
"34",34,8490,464,0.459371870569885,0.21527172579677,0.96,0.206660856764899
"35",35,11867,2953,0.501528460485861,0.270570938825711,0.978723404255319,0.264814110340058
"36",36,10218,1063,0.605741147929802,0.241641541219252,0.980544747081712,0.236940343919267
"37",37,9697,1045,0.638405657513067,0.210462247605618,0.959090909090909,0.201852428385388
"38",38,9845,1135,0.569310821406543,0.226298710537634,0.988326848249027,0.223657091348479
"39",39,10683,2798,0.640663842391223,0.273393346322721,0.980392156862745,0.268032692473256
"40",40,9078,1693,0.615209711389616,0.25928979398019,0.981776765375854,0.254564695228842
"41",41,10098,1366,0.647743079159409,0.219459539075313,0.98,0.215070348293807
"42",42,8606,1991,0.458736775815487,0.277224534211873,0.965579710144927,0.267682385389363
"43",43,11790,954,0.47132237162441,0.258839802928984,0.963562753036437,0.24940839310566
"44",44,10964,3139,0.595266825333238,0.283152024410561,0.983127109111361,0.278374431197784
"45",45,9763,503,0.529786641988903,0.156887076904402,0.949367088607595,0.148943427440888
"46",46,8068,2121,0.507896512141451,0.291736957993152,0.980613893376414,0.286081314219456
"47",47,10612,2960,0.642294830223545,0.274981037201339,0.974201474201474,0.267886931818995
"48",48,10901,2116,0.560079631768167,0.281122097180637,0.991596638655462,0.278759726616094
"49",49,8038,1103,0.52685132198967,0.230224061439264,0.988188976377953,0.227504879611241
"50",50,9614,1199,0.546146524976939,0.240071090014436,0.979166666666667,0.235069608972469
